Date,adj_log_return,realised_vol_21d
2018-05-22,-0.002784207,0.006648373283503977
2018-05-23,0.002747356,0.005745706108899938
2018-05-24,-0.002050482,0.005805434685145024
2018-05-25,-0.002385502,0.005525920738572869
2018-05-29,-0.011567689,0.006172666238048862
2018-05-30,0.0132563173356503,0.006476344697774587
2018-05-31,-0.006144505,0.006682919071143213
2018-06-01,0.009769614,0.006690630782959483
2018-06-04,0.004740006,0.006651897459785269
2018-06-05,0.000727502,0.006187961773950809
2018-06-06,0.008325965,0.006351171355160266
2018-06-07,-0.000108081,0.006352775348576715
2018-06-08,0.002951803,0.006105768142580184
2018-06-11,0.001329109,0.005838787891542494
2018-06-12,0.001291599,0.0058225434241227425
2018-06-13,-0.003195991,0.005895256956882683
2018-06-14,0.002514475,0.005625648072668682
2018-06-15,-0.001276644,0.005612584514418456
2018-06-18,-0.002058821,0.005639378358196198
2018-06-19,-0.003840015,0.005688284479605818
2018-06-20,0.001704332,0.005491853272768081
2018-06-21,-0.006288516,0.005652753040396147
2018-06-22,0.001821545,0.005637917463919056
2018-06-25,-0.013706343,0.006416680262610935
2018-06-26,0.002211796,0.00641329712729127
2018-06-27,-0.008319056,0.006151178706964726
2018-06-28,0.005701373,0.0055448326019296
2018-06-29,0.001438558,0.005375011086154594
2018-07-02,0.002135677,0.004941277954281129
2018-07-03,-0.003537404,0.00486626078801679
2018-07-05,0.008124907,0.005213726539039633
2018-07-06,0.008422744,0.0052216136715574875
2018-07-09,0.008964094,0.0055859070317389875
2018-07-10,0.003591743,0.005602792702230892
2018-07-11,-0.007341129,0.005840273693931637
2018-07-12,0.009024947,0.0061657043518050635
2018-07-13,0.00078729,0.00611415143880768
2018-07-16,-0.000894436,0.006102672090701749
2018-07-17,0.004036923,0.0061432926984224725
2018-07-18,0.002100965,0.006121298970163946
2018-07-19,-0.003778296,0.006118990009892336
2018-07-20,-0.001143486,0.006128832005450125
2018-07-23,0.001857976,0.00592299466922119
2018-07-24,0.005018902,0.005985293505715883
2018-07-25,0.008486558,0.005123366272921246
2018-07-26,-0.002362054,0.005220605760588086
2018-07-27,-0.006799048,0.005078774156651443
2018-07-30,-0.005237152,0.005247718457276205
2018-07-31,0.004917473,0.005298144559325319
2018-08-01,-0.001672626,0.00534858156488504
2018-08-02,0.005432971,0.00527965126061215
2018-08-03,0.004275984,0.005119988471924779
2018-08-06,0.003660562,0.004913028267904997
2018-08-07,0.003296582,0.0046341841494789635
2018-08-08,-0.000420172,0.00461756794360489
2018-08-09,-0.00136735,0.004239633693170452
2018-08-10,-0.00672235,0.004214546233922007
2018-08-13,-0.003750281,0.004321664238830008
2018-08-14,0.006359931,0.004497240274555251
2018-08-15,-0.007495325,0.004774083165320959
2018-08-16,0.008059216,0.005059839934372087
2018-08-17,0.00351399,0.005001028402484483
2018-08-20,0.002137625,0.0049867734970490156
2018-08-21,0.00234287,0.004992020329805527
2018-08-22,-0.000594324,0.004917605047615139
2018-08-23,-0.001328564,0.004603412253464183
2018-08-24,0.006000552,0.004722018350173543
2018-08-27,0.00786397,0.004641780349784642
2018-08-28,0.000483331,0.004394437296425846
2018-08-29,0.005366211,0.0044120921018173005
